age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
48,Self-emp-inc,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States
57,Local-gov,10.0,Separated,Other-service,Not-in-family,Black,Female,0,0,40,United-States
42,Private,11.0,Married-civ-spouse,Tech-support,Husband,White,Male,7298,0,40,United-States
21,?,7.0,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States
19,Private,9.0,Never-married,Sales,Own-child,White,Female,0,0,30,United-States
20,Private,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
19,Private,8.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States
30,?,14.0,Married-civ-spouse,?,Husband,White,Male,0,0,46,United-States
33,Private,14.0,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States
45,Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
33,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
33,?,9.0,Separated,?,Unmarried,White,Female,0,0,40,United-States
48,Private,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
39,Private,9.0,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States
32,Private,10.0,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,16,United-States
42,Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
50,Private,13.0,Divorced,Exec-managerial,Unmarried,White,Male,15020,0,40,United-States
43,Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,Dominican-Republic
23,Private,13.0,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
90,Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,2414,0,40,United-States
31,Private,10.0,Never-married,Protective-serv,Other-relative,Black,Male,0,0,40,?
54,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
31,Private,13.0,Never-married,Sales,Not-in-family,Black,Female,0,0,50,United-States
31,Private,5.0,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Mexico
38,Self-emp-inc,13.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
34,Self-emp-inc,9.0,Never-married,Farming-fishing,Own-child,White,Male,0,0,55,United-States
18,Private,7.0,Never-married,Other-service,Own-child,Black,Male,0,1602,23,United-States
38,Local-gov,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States
63,?,9.0,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States
57,Private,4.5,Widowed,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States
26,State-gov,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
22,Private,11.0,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
21,Private,11.0,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
41,Private,11.0,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
29,Private,11.0,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,50,United-States
63,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,29,United-States
64,State-gov,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
19,Private,10.0,Never-married,Sales,Not-in-family,White,Female,0,0,28,United-States
52,Federal-gov,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,United-States
25,Private,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
32,Local-gov,9.0,Never-married,Transport-moving,Unmarried,Black,Female,0,0,37,United-States
31,Private,9.0,Separated,Exec-managerial,Unmarried,White,Female,0,0,12,United-States
26,Private,9.0,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States
26,Private,10.0,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
43,Private,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States
33,Private,13.0,Separated,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
32,State-gov,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
47,Private,9.0,Divorced,Sales,Unmarried,White,Female,0,0,45,United-States
22,Local-gov,9.0,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States
37,Private,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
50,Private,14.0,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
24,Private,11.0,Never-married,Tech-support,Own-child,White,Female,0,0,38,United-States
48,Private,10.0,Widowed,Adm-clerical,Unmarried,White,Female,0,0,43,United-States
36,Private,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
58,?,7.0,Divorced,?,Not-in-family,Black,Male,0,0,15,United-States
29,Private,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
33,Private,14.0,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,15,United-States
55,Self-emp-not-inc,9.0,Widowed,Sales,Not-in-family,White,Male,0,0,40,United-States
31,Private,12.0,Never-married,Adm-clerical,Not-in-family,White,Male,2202,0,38,United-States
26,Private,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,10,United-States
64,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
20,?,10.0,Never-married,?,Own-child,White,Male,0,0,40,United-States
26,Federal-gov,10.0,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States
34,Local-gov,13.0,Divorced,Prof-specialty,Unmarried,White,Female,6497,0,40,United-States
33,Private,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
20,Private,9.0,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
32,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
46,Private,10.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
24,Private,10.0,Never-married,Exec-managerial,Own-child,White,Male,0,0,25,United-States
23,Private,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,?
64,Self-emp-inc,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,2635,0,10,United-States
39,Private,9.0,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,38,United-States
28,Private,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
59,Local-gov,11.0,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
38,Private,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States
19,Private,6.0,Never-married,Other-service,Other-relative,White,Female,0,0,30,United-States
38,Federal-gov,12.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,33,United-States
37,Self-emp-not-inc,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,65,United-States
21,Private,10.0,Never-married,Other-service,Unmarried,White,Female,0,0,35,United-States
25,Private,6.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
29,?,9.0,Married-civ-spouse,?,Husband,White,Male,0,0,40,Dominican-Republic
18,Private,7.0,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States
39,State-gov,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
37,Private,9.0,Divorced,Craft-repair,Unmarried,White,Male,1506,0,40,United-States
46,Private,10.0,Married-civ-spouse,Sales,Husband,Black,Male,0,0,60,United-States
38,Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
23,Private,10.0,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,50,United-States
25,Private,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico
50,Private,9.0,Never-married,Craft-repair,Own-child,White,Male,0,0,55,United-States
40,Self-emp-inc,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
31,Private,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,46,United-States
34,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,3908,0,46,United-States
52,Private,9.0,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States
50,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
45,Private,9.0,Divorced,Other-service,Unmarried,White,Female,0,0,32,United-States
48,?,12.0,Divorced,?,Not-in-family,White,Female,14084,0,40,United-States
34,Private,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,70,United-States
25,Private,10.0,Never-married,Exec-managerial,Other-relative,White,Female,0,1504,45,United-States
50,Private,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States
43,Private,10.0,Married-spouse-absent,Craft-repair,Unmarried,White,Male,0,3004,40,United-States
29,Private,9.0,Never-married,Protective-serv,Unmarried,White,Male,0,0,35,United-States
49,Private,9.0,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States
19,Private,10.0,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States
62,Private,14.0,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,China
22,Private,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States
24,Private,13.0,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States
27,Private,9.0,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States
21,Private,10.0,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,?
29,Private,12.0,Divorced,Exec-managerial,Unmarried,White,Female,0,0,37,United-States
68,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
39,Federal-gov,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
39,Private,12.0,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,42,United-States
23,Private,10.0,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States
66,Self-emp-inc,9.0,Married-civ-spouse,Sales,Husband,White,Male,0,1825,10,United-States
34,Private,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,63,United-States
17,Private,6.0,Never-married,Sales,Own-child,White,Female,0,0,20,United-States
28,Private,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
39,Self-emp-not-inc,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States
44,Private,9.0,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States
58,Private,11.0,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States
51,Private,13.0,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
23,Self-emp-not-inc,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,60,United-States
23,Private,13.0,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-States
48,Private,9.0,Widowed,Craft-repair,Not-in-family,White,Female,0,0,60,United-States
52,Federal-gov,9.0,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States
51,Self-emp-not-inc,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States
52,Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States
21,Private,6.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,35,United-States
29,State-gov,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Honduras
17,Private,7.0,Never-married,Machine-op-inspct,Own-child,Other,Male,0,0,12,United-States
42,Private,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
22,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
57,Local-gov,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,40,United-States
50,Private,10.0,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States
32,Private,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,5178,0,50,United-States
30,Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
50,Private,4.5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico
48,Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States
37,Self-emp-inc,10.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Thailand
32,Private,9.0,Never-married,Other-service,Not-in-family,White,Male,0,0,52,United-States
19,Private,9.0,Never-married,Farming-fishing,Own-child,White,Male,0,0,45,United-States
23,Private,10.0,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,35,Vietnam
52,?,14.0,Married-civ-spouse,?,Wife,White,Female,15024,0,40,United-States
30,Private,10.0,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,5,United-States
22,Private,10.0,Never-married,Sales,Own-child,White,Female,0,0,40,United-States
31,Private,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,40,United-States
19,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
43,Private,10.0,Divorced,Other-service,Unmarried,White,Female,0,0,38,United-States
41,Private,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States
43,Private,10.0,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States
40,Self-emp-not-inc,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
23,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
32,Local-gov,9.0,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States
31,Private,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
50,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
36,Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
60,Private,4.5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
31,Private,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,7298,0,50,United-States
56,Local-gov,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
33,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States
30,Private,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,24,United-States
47,Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,49,United-States
21,Private,5.0,Never-married,Other-service,Own-child,White,Female,0,0,50,Mexico
40,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
38,Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
40,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
43,Private,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
32,Private,7.0,Divorced,Other-service,Not-in-family,White,Male,0,0,33,United-States
26,Local-gov,13.0,Never-married,Prof-specialty,Own-child,White,Male,1055,0,40,United-States
53,Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,15024,0,60,United-States
52,Private,13.0,Married-spouse-absent,Other-service,Other-relative,Black,Female,0,0,40,Haiti
40,Private,14.0,Divorced,Exec-managerial,Not-in-family,White,Male,0,1408,50,United-States
23,Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
25,Private,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,70,United-States
39,Private,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,13550,0,50,United-States
24,Private,9.0,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
21,Private,10.0,Never-married,Adm-clerical,Own-child,White,Female,0,0,8,United-States
39,Private,13.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
26,Private,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
31,Local-gov,9.0,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States
44,Self-emp-not-inc,9.0,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States
45,Self-emp-inc,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
39,Private,8.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,32,United-States
23,Private,10.0,Never-married,Adm-clerical,Unmarried,Other,Female,0,0,40,United-States
29,Private,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,97,United-States
22,Private,10.0,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States
64,Private,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
69,?,10.0,Married-civ-spouse,?,Husband,White,Male,0,0,32,United-States
34,Local-gov,9.0,Never-married,Farming-fishing,Not-in-family,Black,Male,594,0,60,United-States
46,Private,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
42,Private,10.0,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States
41,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
58,Private,7.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States
59,Private,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
58,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States
20,Private,10.0,Never-married,Farming-fishing,Own-child,White,Male,0,0,60,United-States
18,Private,9.0,Never-married,Sales,Own-child,White,Female,0,0,20,United-States
68,Private,10.0,Divorced,Sales,Not-in-family,White,Female,0,0,20,United-States
24,Private,9.0,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States
40,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
28,Private,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
45,Private,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
45,State-gov,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States
41,Private,10.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
49,Self-emp-inc,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States
21,Private,10.0,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States
66,?,11.0,Widowed,?,Not-in-family,White,Female,2964,0,30,United-States
46,Private,10.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam
28,Federal-gov,10.0,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States
28,Self-emp-not-inc,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States
25,Private,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
47,Private,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,7298,0,40,United-States
31,Private,10.0,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States
44,Federal-gov,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
36,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
30,Private,10.0,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States
29,Private,10.0,Never-married,Sales,Own-child,Black,Male,0,0,80,United-States
25,Private,9.0,Never-married,Protective-serv,Unmarried,White,Female,0,0,25,United-States
20,Private,10.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States
35,Private,9.0,Separated,Adm-clerical,Unmarried,White,Female,0,0,32,United-States
64,Self-emp-inc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,10,United-States
50,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,15,United-States
57,State-gov,9.0,Separated,Other-service,Not-in-family,White,Female,0,0,35,United-States
37,?,9.0,Divorced,?,Not-in-family,White,Female,0,0,30,United-States
38,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
57,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States
42,Private,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States
46,Local-gov,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
27,Private,13.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,75,United-States
24,Private,10.0,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,55,United-States
30,Private,9.0,Never-married,Other-service,Not-in-family,White,Male,0,0,50,?
46,Local-gov,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
65,Private,7.0,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States
24,Private,9.0,Never-married,Transport-moving,Unmarried,White,Female,0,0,40,Mexico
34,Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
52,Private,10.0,Divorced,Sales,Unmarried,White,Female,0,0,50,United-States
45,Private,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States
68,Self-emp-not-inc,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,15,United-States
18,Private,9.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States
25,Private,10.0,Never-married,Farming-fishing,Own-child,White,Male,0,0,20,United-States
21,Private,9.0,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,30,United-States
59,Private,6.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
